subject,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,original_mri_voxel_x,original_mri_voxel_z,original_mri_voxel_y,original_mri_world_x,original_mri_world_y,original_mri_world_z,template,gm_mask,gm_mask_file,remapped,original_mni_sym09c_x,original_mni_sym09c_y,original_mni_sym09c_z,alleninf_mni_sym09c_x,alleninf_mni_sym09c_y,alleninf_mni_sym09c_z,cic_mni_sym09c_x,cic_mni_sym09c_y,cic_mni_sym09c_z,gm_remapping_distance_original,gm_remapping_distance_alleninf,gm_remapping_distance_cic
H0351.2002,4351,13,5921,CX,BMA,"basomedial nucleus, left",1025854,117,96,93,-24.5,-3,0,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-29,-16,-4,-25,-22,-9,-31,-16,-7,3.925800972271476,3.4168778298369933,4.1695050449204665
H0351.2002,4455,14,5937,CX,DTM,"medial group of nuclei, right",1024740,85,82,87,7.5,3,14,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,11.1033870239379,-10.6482889609215,9.35047556690378,13.4959467601389,-12.6529256873967,9.2724421796177,9.78235121274286,-10.8652765287234,8.69475831746134,0,0,0
H0351.2002,4519,14,5874,CX,Sb,"subthalamic nucleus, right",1006537,76,98,92,16.5,-2,-2,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,15,-17,-9,21,-18,-14,21,-18,-14,5.20298636294573,3.461028586724141,3.7850512764707993
H0351.2002,4400,14,5938,CX,DTM,"medial group of nuclei, left",1027906,94,80,94,-1.5,-4,16,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-3,-17,13,-3,-20,11,-2,-18,11,2.3075829020157532,2.005734244370937,2.1565337947743353
H0351.2002,4787,67,8261,CB,Dt,"dentate nucleus, right",1063998,83,122,128,9.5,-38,-26,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,11.7986873422248,-57.3713101549605,-33.1163665588397,11,-56,-37,15,-57,-37,0,1.5857717797025257,1.3340554729278504
H0351.2002,4787,68,8269,CB,Dt,"dentate nucleus, right",1061779,87,113,133,5.5,-43,-17,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,8.23946268392272,-63.7158506840088,-22.2204630143435,8,-62,-25,9,-62,-25,0,2.0856145704849687,1.3180942693598054
H0351.2002,4788,68,8277,CB,Emb,"emboliform nucleus, right",1061777,87,115,129,5.5,-39,-19,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,7,-61,-25,8.53338716962953,-55.5568867567509,-30.3312936614412,8.7115353748545,-58.4087724580989,-28.4476781594599,2.3319146524953416,0,0
H0351.2002,4790,68,8285,CB,Glo,"globose nucleus, right",1061776,87,120,132,5.5,-42,-24,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,10,-62,-31,8,-59,-37,7,-64,-35,2.399066339262075,1.8212795937183814,2.3377852596471413
H0351.2002,4789,69,8293,CB,Fas,"fastigial nucleus, right",1062251,93,114,126,-0.5,-36,-18,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,1,-56,-24,1,-52,-30,1,-57,-28,0.6685125919584474,0.8573009603629118,1.6903096182491413
H0351.2002,4782,71,8301,CB,Dt,"dentate nucleus, left",1066981,104,120,136,-11.5,-46,-24,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-11,-69,-30,-8,-65,-35,-8,-65,-35,2.013453342928667,2.478802939655741,2.7161320340283264
H0351.2002,4024,4,4801,CX,SFG-l,"superior frontal gyrus, left, lateral bank of gyrus",983142,107,59,25,-14.5,65,37,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-18,56,30,-15.2967855002906,54.0929729423345,24.2402423626706,-15.7816581010969,55.0623182819826,30.5920851380759,1.0502144471779644,0,0
H0351.2002,4030,2,4625,CX,MFG-s,"middle frontal gyrus, left, superior bank of gyrus",976928,107,90,18,-14.5,72,6,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-17.5105414062584,62.966717595739,-9.58251633531501,-15.7098095361934,60.4281544246581,-11.9789727269694,-17.086563311319,61.1588395573437,-10.8589890075234,0,0,0
H0351.2002,4891,2,4617,CX,FPi,"frontal pole, left, inferior aspect",976920,101,97,18,-8.5,72,-1,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-8.86079691539937,62.1614086560629,-16.9573314088333,-9,62,-20,-9.49340043691909,60.5245660391599,-17.808547011162698,0,0.9979666279423057,0
H0351.2002,4143,12,4702,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",993005,140,110,88,-47.5,2,-14,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-53.6254392115049,-14.3793781635396,-24.9789564982962,-55.4941788330334,-14.2444814290971,-23.2199669027018,-54.2607294670056,-12.4029456827108,-26.4633928806697,0,0,0
H0351.2002,4151,12,4615,CX,ITG-mts,"inferior temporal gyrus, left, bank of mts",993006,140,114,88,-47.5,2,-18,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-52.7233837675935,-14.8541917727421,-29.7694946627392,-54.8922375800593,-14.5677110343146,-28.5162764984115,-54.0508440590862,-13.2750615911209,-32.1980153998389,0,0,0
H0351.2002,4154,12,4817,CX,ITG-l,"inferior temporal gyrus, right, lateral bank of gyrus",992969,52,123,83,40.5,7,-27,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,47,-8,-43,49.6045719082763,-10.5129287281798,-43.6268527782774,49.3678309140676,-10.4558917195718,-43.2417503899343,0.8706662389740135,0,0
H0351.2002,4154,12,4646,CX,ITG-l,"inferior temporal gyrus, right, lateral bank of gyrus",992969,51,123,83,41.5,7,-27,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,48.7951798417169,-7.8725298853631704,-42.176566377872,50.5632229513105,-10.6531635600355,-43.9053957889429,50.754539524269,-10.5823967482,-43.7058633190132,0,0,0
H0351.2002,4162,12,4662,CX,FuG-its,"fusiform gyrus, right, bank of the its",992967,61,120,86,31.5,4,-24,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,37.7283814146882,-11.8331828210728,-37.4098064227516,41.08920601848,-13.144137249629,-39.1774502094835,38.1579645794613,-12.7590205084512,-36.8134172095621,0,0,0
H0351.2002,4155,12,4678,CX,ITG-mts,"inferior temporal gyrus, right, bank of mts",992975,52,115,83,40.5,7,-19,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,49.0878027594828,-7.39303277612472,-32.0133607515689,51.6069797869137,-9.49146644460977,-32.8948116055135,50.2887451837197,-8.39045265624758,-32.6783343092588,0,0,0
H0351.2002,4094,12,4685,CX,PoG-il,"postcentral gyrus, right, inferior lateral aspect of gyrus",992959,36,81,82,56.5,8,15,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,65.1493861926052,-5.12812764016301,9.9207668688741,64.2514709253355,-6.99882393827537,8.7899995624559,64.7807803462437,-4.36154902177235,10.7442818066726,0,0,0
H0351.2002,4139,12,4693,CX,STG-i,"superior temporal gyrus, right, inferior bank of gyrus",992924,48,104,83,44.5,7,-8,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,54.1492776111968,-6.63749917301666,-18.2037472115517,55.3030984068798,-7.97461849919405,-18.43606421058,52.7575410015968,-5.20024130034454,-16.5301226176725,0,0,0
H0351.2002,4173,12,4614,CX,PLT,"planum temporale, right",992926,46,95,84,46.5,6,1,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,53,-7,-7,53,-8,-6,55,-5,-5,1.2925856803127531,0.8601321923709152,1.1250301075820055
H0351.2002,4024,12,4669,CX,SFG-l,"superior frontal gyrus, left, lateral bank of gyrus",992848,111,35,79,-18.5,11,61,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-19,0,68,-19,-8,70,-26.2438224475263,0.0316658934314877,63.2502752016732,2.929042533333365,1.9119985744322234,0
H0351.2002,4027,12,4645,CX,SFG-l,"superior frontal gyrus, right, lateral bank of gyrus",992801,65,40,75,27.5,15,56,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,30.3424902004065,1.87950098611112,60.283754019973,29.0327373600054,-1.16361449619578,60.8862048418639,30.3483944976648,4.83653278003366,60.6304884533473,0,0,0
H0351.2002,4033,12,4653,CX,MFG-s,"middle frontal gyrus, right, superior bank of gyrus",992800,62,42,76,30.5,14,54,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,34,-1,58,31.9625312657403,-1.8173033329116,59.3476097323599,32,2,60,1.8614199976113102,0,1.6600856130040773
H0351.2002,4027,12,4661,CX,SFG-l,"superior frontal gyrus, right, lateral bank of gyrus",992805,64,38,75,28.5,15,58,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,31.2799617596916,2.19686730985627,62.7321172676065,29,-1,62,31.6139085983539,4.43962836045713,63.1257975207102,0,1.0906028528364087,0
H0351.2002,4906,8,4684,CX,TP-s,"temporal pole, right, superior aspect",993197,70,112,56,22.5,34,-16,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,29,21,-33,27,17,-32,29.0341367907429,19.0469753413884,-32.7692766700867,3.16075519736088,2.4105692171309316,0
H0351.2002,4048,8,4692,CX,GRe,"gyrus rectus, left",993213,104,101,54,-11.5,36,-5,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-11.5539827926192,25.7334493709868,-16.3044150156863,-13.2984492239407,22.0621738288282,-19.0504600711636,-10.726413644218,20.453951566059,-19.4333181602637,0,0,0
H0351.2002,4049,8,4700,CX,GRe,"gyrus rectus, right",993212,88,100,54,4.5,36,-4,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,6,26,-17,9,21,-19,9,20,-18,1.0916520520446564,0.9032387470240426,1.3554729643472814
H0351.2002,4051,8,4613,CX,MOrG,"medial orbital gyrus, left",993214,112,101,54,-19.5,36,-5,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-20.7383042771186,25.6237932631436,-16.4871866196404,-22.3809185003633,23.527141123092,-21.0785444448397,-19.5807220656579,22.0644560350415,-20.5596437431181,0,0,0
