subject,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,original_mri_voxel_x,original_mri_voxel_z,original_mri_voxel_y,original_mri_world_x,original_mri_world_y,original_mri_world_z,template,gm_mask,gm_mask_file,remapped,original_mni_sym09c_x,original_mni_sym09c_y,original_mni_sym09c_z,alleninf_mni_sym09c_x,alleninf_mni_sym09c_y,alleninf_mni_sym09c_z,cic_mni_sym09c_x,cic_mni_sym09c_y,cic_mni_sym09c_z,gm_remapping_distance_original,gm_remapping_distance_alleninf,gm_remapping_distance_cic
H0351.1009,4143,9,11281,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",1283581,149,106,137,-58,-29,-16,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-59.2976597110637,-44.2461459569441,2.39568164517531,-58.964650597788,-45.5350337471613,10.3324665333018,-53,-48,3,0,0,1.9403323851761594
H0351.1009,4151,9,11305,CX,ITG-mts,"inferior temporal gyrus, left, bank of mts",1283601,152,128,137,-61,-29,-38,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-63.8525887028301,-46.2463389900064,-18.6137701860717,-62.4482937266023,-46.9367349573116,-13.2284046535902,-58.2719151987134,-45.6488999133586,-16.3277336835701,0,0,0
H0351.1009,4149,9,11289,CX,ITG-its,"inferior temporal gyrus, left, bank of the its",1283603,143,126,137,-52,-29,-36,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-52,-46,-18,-52,-47,-11,-49.451870927572,-46.7523496432078,-15.1912006794556,1.4119373512499764,0.8959500348578119,0
H0351.1009,4142,8,11335,CX,MTG-s,"middle temporal gyrus, left, superior bank of gyrus",1279507,151,108,127,-60,-19,-18,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-61.412367223474,-35.2938823353195,0.155694077150483,-61.3030928596149,-38.2510233293267,3.02584183475246,-55.2173157737146,-37.541702077685,0.710545867972438,0,0,0
H0351.1009,4135,8,11319,CX,STG-l,"superior temporal gyrus, left, lateral bank of gyrus",1283331,160,100,127,-69,-19,-10,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-71.1221064657276,-34.6839255357747,8.23480248622258,-68.4700019693251,-36.3516164407081,12.5768772898784,-66.9909630976066,-39.5929354181101,7.11329283620004,0,0,0
H0351.1009,4143,7,11263,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",1284160,149,128,110,-58,-2,-38,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-59.1838780962794,-19.3909119538699,-19.3575607996043,-58,-22,-19,-56,-19,-19,0,1.3295857788714387,0.9228977848893904
H0351.1009,4273,6,11326,CX,SIG,"short insular gyri, left",1280038,134,96,99,-43,9,-6,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-44.1959743707613,-7.01556110170949,14.1714387549722,-40.3122202848936,-12.8859460304241,15.6125706069543,-39.932116861068,-12.9139639104419,12.7786274003539,0,0,0
H0351.1009,4270,6,11318,CX,LIG,"long insular gyri, left",1280037,132,104,100,-41,8,-14,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-41.5739876122973,-8.27121383235028,5.71342236907343,-40.349113045222,-12.7632423178472,7.0764750310247,-38.9429697098351,-13.6856428131841,4.84506518032588,0,0,0
H0351.1009,4178,6,11310,CX,PLP,"planum polare, left",1284515,150,104,99,-59,9,-14,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-60.067689393838,-7.35729474397661,5.29534674777172,-58,-11,8,-55.8527579573142,-9.41072755152645,5.38893065314911,0,0.5879295006926775,0
H0351.1009,4135,6,11302,CX,STG-l,"superior temporal gyrus, left, lateral bank of gyrus",1280036,158,105,99,-67,9,-15,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-67,-7,3,-68,-11,6,-64.8074885042583,-8.69534310038055,4.1822572682438,2.026658891269162,1.1685793484292892,0
H0351.1009,4089,6,11286,CX,PoG-il,"postcentral gyrus, left, inferior lateral aspect of gyrus",1280041,159,86,99,-68,9,4,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-68,-7,24,-68.4628256326321,-11.2481640412478,25.1684841973583,-67.0014767860433,-8.88010741743405,21.4710201486455,1.5695046291129937,0,0
H0351.1009,4280,4,11278,CX,HCd,"head of caudate nucleus, left",1275919,104,100,74,-13,34,-10,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-15.4737945658319,17.7630072342992,8.57070389194415,-16.0217626424757,14.1818521531905,11.100675567824,-13.4314319249526,14.3209921930089,9.51119541365682,0,0,0
H0351.1009,4901,4,11262,CX,IRoG,"inferior rostral gyrus, left",1275894,95,118,75,-4,33,-28,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-4.44176090801845,17.7458838836946,-9.47532564762232,-5,18,-6,-2.70015413599399,15.1063196281996,-9.29843489280813,0,0.5449713549092552,0
H0351.1009,4291,4,11254,CX,Acb,"nucleus accumbens, left",1273712,103,117,75,-12,33,-27,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-13.300556584893,18.0710548464074,-8.13700962489847,-15.1122615272428,16.8611379248149,-4.55587292234231,-11.8463352256926,14.4865986079584,-7.86288719858644,0,0,0
H0351.1009,4288,4,11341,CX,Pu,"putamen, left",1273711,114,110,74,-23,34,-20,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-23.855958734612,18.8852659707331,-0.338029246323396,-25.8510102360187,15.5188413443345,2.80410411646795,-23.1473970637767,13.2978699182229,-0.524599709552056,0,0,0
H0351.1009,4114,9,11265,CX,AnG-i,"angular gyrus, left, inferior bank of gyrus",1283526,147,80,138,-56,-30,10,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-55.0773722925497,-48.55843026298,30.439209663037,-49,-50,30,-53.51465030877,-48.4093393178631,26.8237542558428,0,1.0367662689579356,0
H0351.1009,4121,9,11296,CX,Pcu-i,"precuneus, left, inferior lateral bank of gyrus",1283467,97,59,137,-6,-29,31,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-8,-46,52,-7,-50,54,-8.14556483576268,-44.542077984016,54.9897388441264,1.0840385967381023,1.5798574789975852,0
H0351.1009,4120,9,11288,CX,Pcu-s,"precuneus, left, superior lateral bank of gyrus",1283468,101,50,137,-10,-29,40,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-11.0549450711215,-46.3471231524127,61.6566458913066,-11.8745938485178,-48.4949525773536,65.9081995069049,-12.3582931651982,-46.7504521931304,63.2403112416516,0,0,0
H0351.1009,4090,9,11280,CX,PoG-pcs,"postcentral gyrus, left, bank of the posterior central sulcus",1283469,111,41,137,-20,-29,49,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-20.97451565277,-43.3385452088142,71.0460541312022,-21.1953480798614,-45.2229955245823,73.2289167533341,-20.0011549824164,-45.3697431938162,70.8512519657531,0,0,0
H0351.1009,4099,9,11328,CX,SPL-i,"superior parietal lobule, left, inferior bank of gyrus",1283492,122,64,138,-31,-30,26,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-34,-45,45,-25.8707370167098,-54.0788739046279,46.0737558535004,-31.0159617814492,-49.3568034710118,45.3299623228562,1.1402087563159908,0,0
H0351.1009,4113,9,11320,CX,AnG-s,"angular gyrus, left, superior bank of gyrus",1283486,135,61,138,-44,-30,29,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-47.560937378083,-43.8994814863384,47.8229697828869,-41.9537285289325,-48.0472333094967,47.3386130274664,-43.3972249321766,-49.2441320290933,46.6120728786067,0,0,0
H0351.1009,4230,9,11336,CX,CgGp-s,"cingulate gyrus, parietal part, left, superior bank of gyrus",1283510,94,72,137,-3,-29,18,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-4,-48,36,-2.55725485101524,-55.3925227357149,40.640240826571,-3.60520211597374,-47.3122221074248,38.1565619936831,1.1493230716388414,0,0
H0351.1009,4106,8,11303,CX,SMG-s,"supramarginal gyrus, left, superior bank of gyrus",1279525,137,66,126,-46,-18,24,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-48.2316153989684,-31.4489685208962,43.4562442018823,-44.4425360512583,-34.0043942644326,44.2137296905984,-44.8102979855168,-34.5678945478284,43.4787222651606,0,0,0
H0351.1009,4090,8,11295,CX,PoG-pcs,"postcentral gyrus, left, bank of the posterior central sulcus",1279524,123,70,126,-32,-18,20,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-33.2752815578947,-32.482006909513,39.7336147865196,-31,-39,41,-31.1004386793334,-36.3522729857246,41.0385826940606,0,0.8757558172683128,0
H0351.1009,4158,8,11272,CX,FuG-its,"fusiform gyrus, left, bank of the its",1279552,137,142,127,-46,-19,-52,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-47,-36,-29,-47,-38,-29,-42.7021935903837,-38.770814954198,-28.6586996304339,4.500290757821102,0.9295396029145128,0
H0351.1009,4072,7,11261,CX,PCLa,"paracentral lobule, anterior part, left",1280393,96,37,111,-5,-3,53,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-4.67803768409118,-21.9156849969004,74.3506600155953,-4.0973066543223,-22.0882126915634,78.0379566840636,-4.28015088829354,-19.6737809306517,76.3096583446846,0,0,0
H0351.1009,4013,7,11245,CX,PrG-sl,"precentral gyrus, left, superior lateral aspect of gyrus",1279775,104,36,111,-13,-3,54,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-14.7196051832571,-22.2044111516224,75.9030708992174,-11.2979710178369,-25.459186818682,80.975216996482,-13.0105119831606,-18.6496436256649,77.1987571767431,0,0,0
H0351.1009,4158,7,11222,CX,FuG-its,"fusiform gyrus, left, bank of the its",1279887,138,143,110,-47,-2,-53,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-47.6282872178317,-19.3396129679456,-35.4173313717127,-47.9282960317359,-22.0091610393598,-33.0053035610158,-45.0859867795515,-19.7749964669716,-29.8310964680635,0,0,0
H0351.1009,4151,7,11214,CX,ITG-mts,"inferior temporal gyrus, left, bank of mts",1279885,144,135,110,-53,-2,-45,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-55.5424528889464,-19.0819676664957,-26.0529266954699,-54.1188631118566,-22.2150234626657,-24.4260658973608,-52.6930878820581,-18.2939789718429,-23.6871867985394,0,0,0
H0351.1009,4087,7,11198,CX,PoG-cs,"postcentral gyrus, left, bank of the central sulcus",1279799,133,54,111,-42,-3,36,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-42.8603781349858,-18.5669255324563,55.9340601594036,-41.6328458057534,-22.1117219345314,55.9085522603374,-43.0341051468371,-21.9200305348858,54.7438438355317,0,0,0
H0351.1009,4015,6,11244,CX,PrG-cs,"precentral gyrus, left, bank of the central sulcus",1279336,120,50,100,-29,8,40,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-31.5765042155296,-8.7270492725502,60.2276648581949,-31.9280036325445,-14.7244842912669,61.2090380074793,-30.4895208886898,-9.33876000559178,59.1499995646737,0,0,0
H0351.1009,4136,6,11197,CX,STG-i,"superior temporal gyrus, left, inferior bank of gyrus",1279541,156,125,99,-65,9,-35,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-66.3022571187198,-7.79661571101907,-16.867584746864,-65.1708369612363,-10.2426656273927,-13.5109448795405,-63.8840689722408,-8.09941502234445,-12.6373440633935,0,0,0
H0351.1009,4178,5,11204,CX,PLP,"planum polare, left",1275913,138,123,88,-47,20,-33,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-48.1165896717036,3.83356989172396,-14.6464892420986,-48.7480667989975,1.38823735018185,-11.8435241349761,-47.9609989930162,0.927622233975641,-13.2897400381628,0,0,0
H0351.1009,4135,5,11180,CX,STG-l,"superior temporal gyrus, left, lateral bank of gyrus",1275916,154,116,88,-63,20,-26,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-64,3,-8,-64.7752573036222,0.498841801245704,-4.99262633789631,-61.9200196393445,0.978862996573288,-5.43449624945802,0.9459299873286162,0,0
H0351.1009,4088,6,11189,CX,PoG-sl,"postcentral gyrus, left, superior lateral aspect of gyrus",1279382,156,68,99,-65,9,22,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-64,-8,41,-65,-12,40,-63.2925681217956,-9.00410136495354,39.0179115530717,2.421274579849959,2.071472368402734,0
H0351.1009,4087,6,11181,CX,PoG-cs,"postcentral gyrus, left, bank of the central sulcus",1280014,152,71,99,-61,9,19,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-62.8055953963793,-6.88566789225106,38.5343702191034,-63.4535895568265,-13.1579091073877,38.708704451831,-60.0742525721968,-8.7288637832416,35.8931983462289,0,0,0
H0351.1009,4113,11,11129,CX,AnG-s,"angular gyrus, left, superior bank of gyrus",1270316,123,54,160,-32,-52,36,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-33.6745922690323,-70.0080037648174,56.3549670790237,-32.1427256594855,-72.0153024650081,55.8385720121022,-35.295884022014,-69.9429877202891,51.4303835837075,0,0,0
H0351.1009,4099,11,11121,CX,SPL-i,"superior parietal lobule, left, inferior bank of gyrus",1270315,120,53,160,-29,-52,37,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-29.7011157811499,-70.8665641603429,59.09101879654,-29.622396205338,-71.9451107261259,58.3689423250617,-31.9535008582416,-69.7825238614465,53.4962029690434,0,0,0
H0351.1009,4143,10,11097,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",1270696,146,97,148,-55,-40,-7,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-55.7492344934679,-56.2670859331057,9.61463586872304,-50.005083052736,-60.4628543127201,11.2248346156041,-50.0846745283074,-58.8387375899421,8.90217156062097,0,0,0
H0351.1009,4230,10,11088,CX,CgGp-s,"cingulate gyrus, parietal part, left, superior bank of gyrus",1270784,96,73,146,-5,-38,17,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-6.32897276141859,-57.0624170415964,36.1602864698787,-5,-65,37,-5.6271869726287,-55.7044216992105,35.1698045692436,0,1.1199312985154677,0
H0351.1009,4120,10,11072,CX,Pcu-s,"precuneus, left, superior lateral bank of gyrus",1270788,97,60,146,-6,-38,30,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-6.65094792374089,-56.8790905994578,49.233010381671,-8,-60,53,-8.26288805790034,-54.0917310595011,51.893501828002,0,0.7429496632798948,0
H0351.1009,4113,10,11112,CX,AnG-s,"angular gyrus, left, superior bank of gyrus",1269851,127,58,147,-36,-39,32,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-35,-57,52,-32.8655167256011,-61.465996928715,52.4160903314398,-36.3340358360973,-57.8439186257624,49.4525219669697,1.168690723794009,0,0
H0351.1009,4099,10,11104,CX,SPL-i,"superior parietal lobule, left, inferior bank of gyrus",1270106,120,44,146,-29,-38,46,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-30.5020045189123,-53.428066345486,65.7520660455403,-27.359528865725,-56.2808674295786,67.6927678795183,-33,-56,64,0,0,0.7865567947930122
H0351.1009,4201,10,11144,CX,OTG-i,"occipito-temporal gyrus, left, inferior bank of gyrus",1270773,125,118,147,-34,-39,-28,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-33,-56,-9,-32.0492767052035,-60.4536203631766,-7.76165435524158,-28.4748794270705,-57.560423185243,-9.72712385213914,2.0556313586008583,0,0
H0351.1009,4193,10,11277,CX,LiG-pest,"lingual gyrus, left, peristriate",1270774,123,115,147,-32,-39,-25,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-33.1786378269352,-55.7816778803437,-6.44221195540266,-30.0070071509956,-60.2793331089124,-4.86039035288173,-26.0638364271861,-57.5897876469138,-6.81726969830796,0,0,0
H0351.1009,4186,10,11120,CX,Cun-pest,"cuneus, left, peristriate",1270777,106,92,146,-15,-38,-2,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-16.6095575215611,-53.0636600974247,18.4452196090898,-13.1141516078899,-55.9878782859462,13.5751240636333,-12.6118951457912,-56.0838252526681,13.7197777330803,0,0,0
H0351.1009,4200,10,11276,CX,OTG-s,"occipito-temporal gyrus, left, superior bank of gyrus",1270766,140,121,147,-49,-39,-31,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-49.9527640365301,-57.2520980903229,-11.0167065939413,-46.713960028871,-59.9196105069916,-6.66884315856525,-44.6051377458974,-57.3883636733188,-10.7132959327039,0,0,0
H0351.1009,4121,11,11150,CX,Pcu-i,"precuneus, left, inferior lateral bank of gyrus",1270313,100,77,159,-9,-51,13,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-10.4349223000756,-66.4083291156331,32.7829791129565,-7.20485414705931,-71.8524777936512,33.0774670248873,-8.7480735723425,-68.5957426815264,27.7299183501801,0,0,0
H0351.1009,4121,11,11142,CX,Pcu-i,"precuneus, left, inferior lateral bank of gyrus",1270312,102,79,159,-11,-51,11,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-12.7343216346441,-66.3504389962442,31.032654990355,-9.97077868027372,-72.5985929158766,29.3861960412379,-10.3481884268327,-67.9610071528972,25.7994705029116,0,0,0
H0351.1009,4120,11,11134,CX,Pcu-s,"precuneus, left, superior lateral bank of gyrus",1270311,97,50,159,-6,-51,40,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-6.84850580447275,-68.7011658953836,59.4231142202761,-5.27988567802503,-66.2709297379645,63.2688293819076,-6.6522504514023,-69.9089687530659,59.951936728886,0,0,0
H0351.1009,4186,11,11095,CX,Cun-pest,"cuneus, left, peristriate",1270321,112,88,159,-21,-51,2,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-23.1069277375504,-67.6217848685275,21.9703860785462,-17.3184922803063,-72.4678027894304,18.7113121180689,-18.4813567841144,-67.4345452737695,17.8062068829267,0,0,0
H0351.1009,4194,11,11087,CX,LiG-str,"lingual gyrus, left, striate",1270325,100,110,160,-9,-52,-20,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-9.60000196081169,-70.8572182819477,0.517652454147918,-7.47910478812355,-74.2830423661479,-3.35637765563795,-7.76115894283888,-70.5100746523999,-3.48960355589702,0,0,0
H0351.1009,4193,11,11079,CX,LiG-pest,"lingual gyrus, left, peristriate",1270887,110,103,160,-19,-52,-13,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-20.9593944676144,-68.4449742834462,7.25491859579677,-16.5481746041022,-72.7035871449914,4.86508288012883,-15.6791725564126,-70.0646666968586,3.46745818780747,0,0,0
H0351.1009,4187,11,11071,CX,Cun-str,"cuneus, left, striate",1270322,109,95,159,-18,-51,-5,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-20,-67,16,-16,-70,14,-15.0395028575988,-69.3001462066929,10.143368661045,1.4931501798653852,0.5836312198994182,0
H0351.1009,4186,11,11063,CX,Cun-pest,"cuneus, left, peristriate",1270320,113,89,159,-22,-51,1,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-23,-68,21,-17.9599663256498,-72.0836220381523,18.0899710663317,-19.2655808021029,-67.6141666812917,16.7679665717591,1.0393824335939972,0,0
H0351.1009,4214,11,11151,CX,SOG-s,"superior occipital gyrus, left, superior bank of gyrus",1270794,145,82,161,-54,-53,8,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-54.4303054810849,-72.1940036141648,26.4663627888933,-51.94988930664,-74.8223098972032,22.0394981443614,-51.9593873010283,-67.9032455974156,24.6913256441914,0,0,0
H0351.1009,4207,11,11143,CX,IOG-s,"inferior occipital gyrus, left, superior bank of gyrus",1270796,152,110,162,-61,-54,-20,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-59,-69,-2,-58,-71,3,-56.1374802426627,-71.2342775286696,-1.09400172544978,2.8710333679772333,1.7244664029834136,0
H0351.1009,4014,5,11149,CX,PrG-il,"precentral gyrus, left, inferior lateral aspect of gyrus",1270925,154,99,88,-63,20,-9,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-64,3,10,-63.6976642187834,-0.507856774251314,12.3174380212115,-60.83597611212,2.06890972145112,8.44193124039931,1.2135961728940519,0,0
H0351.1009,4224,4,11116,CX,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",1269857,94,85,74,-3,34,5,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-4.62282218036281,18.3272024661341,24.5063390108252,-4.90831334429707,19.0384377712274,23.9628256104996,-3.31016239706483,17.6030069348508,29.2267428103579,0,0,0
H0351.1009,4223,4,11108,CX,CgGf-s,"cingulate gyrus, frontal part, left, superior bank of gyrus",1269856,95,66,74,-4,34,24,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-5.15685238850049,16.1089197747417,44.3920184828713,-4.62343024931336,16.8204357896479,48.8054644381134,-3.11191726324463,17.151884994603,46.3491720637187,0,0,0
H0351.1009,4023,4,11100,CX,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",1269855,95,43,74,-4,34,47,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-4.37037095811193,17.5830072178075,67.6794982624392,-2,13,68,-3,17,68,0,0.6367771151693657,1.0226002163446464
H0351.1009,4031,4,11140,CX,MFG-i,"middle frontal gyrus, left, inferior bank of gyrus",1270067,138,57,74,-47,34,33,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-48,15,53,-47.0809099127879,5.74139001412991,50.0682843580465,-47.6294286305718,14.8761858580944,49.6874415500947,1.82348857779713,0,0
H0351.1009,4030,4,11132,CX,MFG-s,"middle frontal gyrus, left, superior bank of gyrus",1270066,116,60,74,-25,34,30,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-28.5975832921449,13.03351911917,50.9672076298921,-25.4718511867365,6.91166745587438,49.614995138492,-26.8055344212957,16.1123321694996,48.0338988459719,0,0,0
H0351.1009,4905,4,11077,CX,TP-m,"temporal pole, left, medial aspect",1270352,119,152,75,-28,33,-62,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-28.8784345236933,15.5357011463847,-45.4745688081767,-29.1743627824354,13.4921380714735,-43.3480989496085,-31.2938257903016,16.7548946715805,-42.3387538180143,0,0,0
H0351.1009,4904,4,11069,CX,TP-i,"temporal pole, left, inferior aspect",1270353,137,149,75,-46,33,-59,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-46,16,-42,-46.1411228233386,13.8457586306804,-39.4273023307616,-46.8185205989205,14.006611046991,-40.4506949277423,0.9893156787189118,0,0
H0351.1009,4903,4,11061,CX,TP-s,"temporal pole, left, superior aspect",1270351,123,136,75,-32,33,-46,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-31,17,-28,-32,16,-25,-35.1602155398605,14.3041526204669,-27.504000857505,0.8332310383258107,1.249832376194832,0
H0351.1009,4224,3,11068,CX,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",1265790,96,92,63,-5,45,-2,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-7.43871410858088,30.1765591897475,16.1430662782472,-6,30,16,-6.05125817789881,27.0831864400143,19.0760613620623,0,0.8778883326889211,0
H0351.1009,4224,3,10997,CX,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",1265790,95,92,63,-4,45,-2,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-6.33110328959954,30.2324944358348,16.2371230738033,-4.61328294045835,29.7565182240527,16.3845811988947,-4.93975866495909,27.1683776032715,19.1158508023851,0,0,0
